quarter,reporting_period,service_name,provider_name,service_suburb,purpose,planning_region,state,mmm_region,mmm_code,size,overall_rating,experience_rating,compliance_rating,staffing_rating,quality_rating
2023-05,May 2023,Mildred Symons House,Anglican Community Services,,Not for profit,South East Sydney,NSW,Metropolitan,MM1,Large,3.0,3.0,4.0,1.0,3.0
2023-05,May 2023,Bowral House Nursing Home,Thompson Health Care Pty Ltd,,For profit,South West Sydney,NSW,Large rural towns,MM3,Medium,3.0,3.0,3.0,4.0,4.0
2023-05,May 2023,Whiddon Moree NH,The Frank Whiddon Masonic Homes of New South Wales,,Not for profit,New England,NSW,Medium rural towns,MM4,Small,2.0,4.0,2.0,4.0,3.0
2023-05,May 2023,William Beech Gardens - Bushmaster,RSL LifeCare Limited,,Not for profit,Central West,NSW,Small rural towns,MM5,Small,3.0,3.0,4.0,2.0,3.0
2023-05,May 2023,Uniting Wesley Heights Manly,The Uniting Church in Australia Property Trust (NSW),,Not for profit,Northern Sydney,NSW,Metropolitan,MM1,Large,4.0,4.0,5.0,1.0,5.0
2023-05,May 2023,Scalabrini Village Nursing Home (Austral),Scalabrini Village Ltd,,Not for profit,South West Sydney,NSW,Metropolitan,MM1,Large,3.0,3.0,3.0,3.0,4.0
2023-05,May 2023,Hillgrove House,Sapphire Coast Community Aged Care Ltd,,Not for profit,Southern Highlands,NSW,Small rural towns,MM5,Medium,4.0,3.0,5.0,3.0,3.0
2023-05,May 2023,Harbison Burradoo,Harbison Memorial Retirement Village,,Not for profit,South West Sydney,NSW,Large rural towns,MM3,Large,4.0,3.0,5.0,3.0,3.0
2023-05,May 2023,Dubbo Homestead Care Community,DPG Services Pty Ltd,,For profit,Orana Far West,NSW,Large rural towns,MM3,Small,3.0,2.0,5.0,4.0,3.0
2023-05,May 2023,Catholic Healthcare St Joseph Aged Care,Catholic Healthcare Limited,,Not for profit,Northern Sydney,NSW,Metropolitan,MM1,Small,4.0,3.0,5.0,2.0,5.0
2023-05,May 2023,Shoalhaven Place Care Community,DPG Services Pty Ltd,,For profit,Illawarra,NSW,Large rural towns,MM3,Small,4.0,3.0,5.0,3.0,4.0
2023-05,May 2023,IRT Woonona,Illawarra Retirement Trust,,Not for profit,Illawarra,NSW,Metropolitan,MM1,Large,3.0,3.0,3.0,1.0,3.0
