quarter,service_name,provider_name,purpose,state,planning_region,mmm_code,mmm_region,size,overall_rating,experience_rating,compliance_rating,staffing_rating,quality_rating,service_suburb,prev_overall,rating_change,movement,quarters_at_rating,is_latest
2026-05,501 Respite & Care Services,Nightbreeze Pty Ltd,Private for Profit,QLD,South Coast,MM1,Metropolitan,Small,3.0,4.0,5.0,2.0,1.0,BIGGERA WATERS,4.0,-1.0,Declined,1,True
2026-05,70 Lowe Street,East Grampians Health Service,Government,VIC,Grampians,MM4,Medium rural towns,Small,4.0,4.0,5.0,5.0,3.0,ARARAT,4.0,0.0,Steady,13,True
2026-05,ACDMA Aged Care Services,Australian Chinese & Descendants Mutual Association Ltd,Not for Profit,NSW,South West Sydney,MM1,Metropolitan,Medium,4.0,4.0,4.0,2.0,4.0,CANLEY VALE,4.0,0.0,Steady,5,True
2026-05,ACH Group Residential Care - Colton Court (new),Serbian Community Welfare Association of SA Inc,Not for Profit,SA,Metropolitan South,MM1,Metropolitan,Small,,,,,,MCLAREN VALE,,,New/First,1,True
2026-05,ACH Group Residential Care - Highercombe,Aged Care & Housing Group Inc,Not for Profit,SA,Metropolitan North,MM1,Metropolitan,Large,4.0,3.0,5.0,4.0,1.0,HOPE VALLEY,4.0,0.0,Steady,2,True
2026-05,ACH Group Residential Care - Kapara,Aged Care & Housing Group Inc,Not for Profit,SA,Metropolitan South,MM1,Metropolitan,Large,4.0,3.0,5.0,5.0,1.0,GLENELG SOUTH,4.0,0.0,Steady,2,True
2026-05,ACH Group Residential Care - Milpara,Aged Care & Housing Group Inc,Not for Profit,SA,Metropolitan East,MM1,Metropolitan,Medium,4.0,3.0,5.0,5.0,3.0,ROSTREVOR,4.0,0.0,Steady,7,True
2026-05,ACH Group Residential Care - Perry Park (high care),Aged Care & Housing Group Inc,Not for Profit,SA,Metropolitan South,MM1,Metropolitan,Large,4.0,3.0,5.0,5.0,3.0,PORT NOARLUNGA,4.0,0.0,Steady,12,True
2026-05,ACH Group Residential Care - ViTA,Aged Care & Housing Group Inc,Not for Profit,SA,Metropolitan South,MM1,Metropolitan,Small,4.0,3.0,5.0,4.0,3.0,DAW PARK,4.0,0.0,Steady,2,True
2026-05,AMAN Aged Care,Aman Aged Care Limited,Not for Profit,NSW,South West Sydney,MM1,Metropolitan,Small,,,,,,BANKSTOWN,,,New/First,1,True
2026-05,ANHF Thornleigh Nursing Home,Australian Nursing Home Foundation Limited,Not for Profit,NSW,Northern Sydney,MM1,Metropolitan,Medium,3.0,3.0,4.0,1.0,5.0,THORNLEIGH,4.0,-1.0,Declined,1,True
2026-05,Abberfield Aged Care Facility,Sandra Pty Ltd,Private for Profit,VIC,Southern Metro,MM1,Metropolitan,Large,3.0,2.0,5.0,1.0,2.0,SANDRINGHAM,3.0,0.0,Steady,3,True
2026-05,Abbey House Aged Care,Thompson Health Care Pty Ltd,Private for Profit,NSW,South West Sydney,MM3,Large rural towns,Large,4.0,4.0,4.0,3.0,3.0,MITTAGONG,4.0,0.0,Steady,2,True
2026-05,Abel Tasman Village,The Abel Tasman Village Association Ltd,Not for Profit,NSW,South West Sydney,MM1,Metropolitan,Medium,4.0,4.0,5.0,3.0,1.0,CHESTER HILL,4.0,0.0,Steady,11,True
2026-05,Aberlea Inc,Aberlea Inc,Not for Profit,VIC,Barwon-South Western,MM5,Small rural towns,Small,5.0,4.0,5.0,5.0,5.0,MORTLAKE,4.0,1.0,Improved,1,True
2026-05,Acacia Living Group Meadow Springs Aged Care Facility,RSL Care RDNS Limited,Not for Profit,WA,Metropolitan South West,MM1,Metropolitan,Medium,4.0,4.0,4.0,5.0,3.0,MEADOW SPRINGS,4.0,0.0,Steady,6,True
2026-05,Acacia Living Group Menora Gardens Aged Care Facility,RSL Care RDNS Limited,Not for Profit,WA,Metropolitan East,MM1,Metropolitan,Large,4.0,3.0,4.0,5.0,4.0,MENORA,3.0,1.0,Improved,1,True
2026-05,Ada Cottage,RSL LifeCare Limited,Not for Profit,NSW,Central West,MM5,Small rural towns,Small,5.0,5.0,5.0,5.0,3.0,KANDOS,5.0,0.0,Steady,7,True
2026-05,Adelene Nursing Home,Alino Living,Not for Profit,NSW,Central Coast,MM1,Metropolitan,Small,4.0,3.0,5.0,4.0,2.0,WYOMING,4.0,0.0,Steady,2,True
2026-05,Adina Care Cootamundra,Cootamundra Health Care Co-operative Limited,Not for Profit,NSW,Riverina/Murray,MM4,Medium rural towns,Medium,3.0,3.0,4.0,3.0,3.0,COOTAMUNDRA,3.0,0.0,Steady,3,True
2026-05,Adria Village Ltd,Adria Village Limited,Not for Profit,ACT,ACT,MM1,Metropolitan,Small,4.0,3.0,5.0,4.0,3.0,STIRLING,4.0,0.0,Steady,13,True
2026-05,Advantaged Care at Barden Lodge,Advantaged Care Pty Ltd,Private for Profit,NSW,South East Sydney,MM1,Metropolitan,Small,4.0,3.0,5.0,3.0,5.0,BARDEN RIDGE,4.0,0.0,Steady,11,True
2026-05,Advantaged Care at Bondi Waters,Advantaged Care Pty Ltd,Private for Profit,NSW,South East Sydney,MM1,Metropolitan,Small,4.0,4.0,5.0,3.0,4.0,BONDI,4.0,0.0,Steady,12,True
2026-05,Advantaged Care at Edensor Gardens,Advantaged Care 4 Pty Limited,Private for Profit,NSW,South West Sydney,MM1,Metropolitan,Large,4.0,4.0,5.0,3.0,3.0,EDENSOR PARK,4.0,0.0,Steady,6,True
2026-05,Advantaged Care at Georges Manor,Advantaged Care Pty Ltd,Private for Profit,NSW,South West Sydney,MM1,Metropolitan,Large,4.0,4.0,5.0,3.0,3.0,GEORGES HALL,4.0,0.0,Steady,8,True
2026-05,Advantaged Care at Prestons Lodge,Advantaged Care 2 Pty Limited,Private for Profit,NSW,South West Sydney,MM1,Metropolitan,Large,3.0,3.0,5.0,2.0,3.0,PRESTONS,4.0,-1.0,Declined,1,True
2026-05,AdventCare Whitehorse,Seventh-Day Adventist Aged Care (Victoria) Ltd,Not for Profit,VIC,Eastern Metro,MM1,Metropolitan,Large,3.0,3.0,5.0,2.0,3.0,NUNAWADING,4.0,-1.0,Declined,1,True
2026-05,AdventCare Yarra Ranges,Seventh-Day Adventist Aged Care (Victoria) Ltd,Not for Profit,VIC,Eastern Metro,MM5,Small rural towns,Small,4.0,4.0,5.0,2.0,3.0,WARBURTON,4.0,0.0,Steady,10,True
